,repository_name,language
538,autocomplete-search-box,TypeScript
539,AutoCrane,C#
540,autodistil,Python
541,autogen,Python
542,automated-brain-explanations,Jupyter Notebook
543,automatic-graph-layout,C#
544,automatic-rule-induction,Python
545,Automation-Catalog-for-Power-Platform,TypeScript
546,AutoMoE,Python
547,AutoMS,C++
548,AutonomousDrivingCookbook,Jupyter Notebook
549,AutoPodcaster,Python
550,autorl-research,Python
551,autothrottle,Python
552,avatar-example,
553,avml,Rust
554,AwaitAdapters,
555,awesome-js-tools,
556,ax-2012-doc-tools,HTML
557,AX2012ARMTemplates,
558,axe-pipelines-samples,TypeScript
559,axe-sarif-converter,TypeScript
560,axe-windows,C#
561,az-deep-batch-score,Jupyter Notebook
562,az-deep-realtime-score,Jupyter Notebook
563,az-ml-batch-score,Jupyter Notebook
564,az-ml-realtime-score,Jupyter Notebook
565,az-oai-chatgpt-streamlit-harness,Jupyter Notebook
566,az-partner-center-cli,Python
567,az-python,Python
568,az-sas-batch-scoring,Jupyter Notebook
569,AZ302_Eisenzimmer_2-14_SMCSTS,Jupyter Notebook
570,azcode,
571,azdata-extension-azdata,JavaScript
572,azdata-test,TypeScript
573,azdataGraph,JavaScript
574,AzDetectSuite,PowerShell
575,AzDevOpsDemoGenerator,C#
576,azdo-databricks,TypeScript
577,azdo-extension-team-randomizer,JavaScript
578,azfuse,Python
579,azl-otel-collector,Go
580,azopsguide,
581,azPipeline-KubernetesUI-devopsExtension,TypeScript
582,azpipelines-kubernetesUI,TypeScript
583,azpipelines-kubernetesUI-WebApp,TypeScript
584,azserialconsole,
585,AzStackHCISandbox,PowerShell
586,azure-activedirectory-interactive-auth-library-for-java,HTML
587,azure-activedirectory-jwt-token-handler-for-dotnet,C#
588,Azure-Advanced-Threat-Protection,PowerShell
589,Azure-AI-Apps,
590,Azure-AI-Contents-Generation,Jupyter Notebook
591,azure-ai-foundry-whatsapp-bot,Python
592,azure-ai-hands-on-training,Jupyter Notebook
593,azure-ai-search-rest-api-spec,
594,azure-analysis-services-http-sample,C#
595,Azure-Analytics-and-AI-Engagement,Jupyter Notebook
596,azure-api-management-monetization,TypeScript
597,azure-app-configuration-se-extension,
598,azure-app-service-plugin,Java
599,azure-arc-jumpstart-apps,HTML
600,azure-architecture-solution-build-for-csa,
601,azure-artifacts-migration,PowerShell
602,azure-bidding-and-auction-services-demo,Shell
603,azure-blob-checksum-verification,Shell
604,azure-blockchain-connector,Go
605,azure-boards-automate-state-transitions,C#
606,azure-boards-estimate,TypeScript
607,azure-boards-estimate-backend,C#
608,azure-boards-split,TypeScript
609,azure-boards-vscode,TypeScript
610,azure-carbon-estimator,TypeScript
611,azure-chat-for-java,Java
612,azure-cli,Python
613,azure-cli-extensions,Python
614,Azure-CloudAdoptionFramework-UnderstandingNetworking,PowerShell
615,azure-cloudera-vm-metrics-logging,Shell
616,azure-container-apps,Bicep
617,azure-cookbook,Ruby
618,azure-cosmos-db-sampler,Java
619,azure-cost-monitor,Python
620,azure-data-manager-for-energy-experience-lab,TypeScript
621,azure-data-manager-for-energy-power-bi-connector,
622,azure-data-services-go-fast-capability-assessment,
623,azure-data-services-go-fast-documentation,
624,azure-databases-aspire,
625,Azure-Databases-Community-Content,
626,Azure-Databricks-NYC-Taxi-Workshop,Scala
627,Azure-Databricks-Solution-Accelerator-Financial-Analytics-Customer-Revenue-Growth-Factor,Python
628,azure-databricks-sql-workshop-ja,Python
629,Azure-Datahub-Solution-Accelerator-for-Government-Recovery-Programs,Jupyter Notebook
630,Azure-DCAP-Client,C++
631,Azure-DDP,PowerShell
632,azure-dev-day,C#
633,azure-dev-day-java,HTML
634,azure-dev-experience--azure-devbox,Python
